filename,id,term,tags,manual_links,alternates,definition,writer,writing status,proofreading status
actor,actor,Actor,abstract,,,Something or someone that acts upon an object. ,Stephen,Completed,Not Proofread
combat,combat,Combat,abstract,,in-combat,"The state of exchanging damage or crowd control with enemy champion(s). Combat can happen at several scales depending on the duration of the encounter and the number of champions involved. In combat, a player realizes threat as the actor or the object. Being “in-combat” also has mechanical effects, with some items, abilities, and passives having different functions in and out of combat.",Stephen,Completed,Not Proofread
kill-pressure,kill-pressure,Kill Pressure,abstract,"key ability, strings, freeze",,"Kill pressure is a state where a player can kill another player with any of their strings of abilities. Usually, this means that if the player with kill pressure lands their key set up ability, they have a string of inputs that takes a relatively short amount of time that has a high likelihood of killing the other player. Whenever a player has kill pressure, it allows them to play much more aggressively, and the defending player will need to play more safely.",Kevin,Completed,Not Proofread
object,object,Object,abstract,,,"Something or someone being acted upon, usually by an actor.",Stephen,Completed,Not Proofread
tension,tension,Tension,abstract,,,"A state of raised stakes, especially with respect to an enemy champion. Tension appears when two competing interests from opposing parties collide, even without active threat or combat. The presence of tension accentuates losses and gains—for each interest fulfilled by one side, an equivalent interest is lost for the other. Tension scales with threat: the greater the capability of influence each side has over the other, the higher the stakes become.",Stephen,Completed,Not Proofread
threat,threat,Threat,abstract,,,"Threat is the potential to act on an object in combat. It is generated when an actor obtains the capability to influence a target by creating value, and increases with the probability of a successful action. Fundamentally, threat is speculative—the threat of an action can create value on its own, but any value generated is with reference to an implied ground state. 

Example: Blitzcrank approaches an enemy champion with its Q, Rocket Grab. While Blitz Q is off cooldown, Blitz has extremely high potential to act upon its target since its hook repositions the enemy and renders them temporarily inactionable. This means while Blitz can cast its hook, it generates massive threat. Blitz can use the threat of the hook—the possibility for the hook to hit its target—as a way to influence the enemy. However, if Blitz never casts the hook, the possible value is never realized, since it never acts upon the enemy. ",Stephen,Completed,Not Proofread
mental-stack,mental-stack,Mental Stack,"abstract, player","micro, pressure",,blah blah blah,Stephen,Backlog,Not Proofread
high-elo,high-elo,High Elo,vernacular,,,"The ladder ratings where players are considered very skilled at the game. The exact threshold of high elo is a contentious topic among the community, with definitions of “high elo” ranging from Emerald+ to 1k LP Challenger. Riot’s balance framework, as of 2020, defines Elite play as Diamond 2 and onwards.",Stephen,Completed,Not Proofread
one-trick,one-trick,One-trick,vernacular,,"OTP, ""one trick pony""","Refers to a player who plays almost exclusively a single champion. The player may play the same champion in multiple roles, but rarely deviates from their main unless banned out. High elo one-tricks are a common source of specific champion innovation. Watching a champion’s associated one-tricks play in high elo is also a common suggestion to players new to a champion. Originates from the phrase “one-trick pony.”",Stephen,Completed,Not Proofread
attack-cancel,attack-cancel,Attack Cancel,game-mechanics,,"""auto cancel""","The act of resetting a champion’s basic attack timer *before* damage occurs with a different input. If an attack is canceled, the champion will reattempt it from the beginning of their windup, rather than the moment the attack was canceled. Canceled attacks are generally considered a misinput, though intentionally canceling an attack is a strategy sometimes employed to attempt it again at a more opportune moment.
Authors’ note: Sometimes used interchangeably with attack resets, but we separated the two mechanics for increased clarity.",Stephen,Completed,Not Proofread
attack-reset,attack-reset,Attack Reset,game-mechanics,,"""auto reset""","The act of resetting a champion’s basic attack timer *after* damage occurs with a different input. If an attack is reset after the attack’s damage is applied, it starts the next attack’s windup immediately, letting another attack start sooner than usual. The term “attack reset” can also refer to the specific action that triggers an attack reset. Most abilities that empower a champion’s basic attack also serve as attack resets. Attack resets are often a key part of a champion’s bread-and-butter string. 
Authors’ note: Sometimes used interchangeably with attack cancels, but we separated the two mechanics for increased clarity.",Stephen,Completed,Not Proofread
buffer,buffer,Buffer,game-mechanics,cc-buffer,"""input buffer"", ""buffer window""","Inputting an action before it can be performed. Upon buffering an input, the game will attempt to execute it as soon as the conditions for performing the input are met. Some examples include:
A player inputs a targeted action on a target that is out of range. Upon the target entering the player’s range, their champion applies their action.
A player presses an ability with a significant cast time. During the cast time, they press another ability. After the first ability is cast and the player is actionable again, the second ability is instantly performed.
It can be difficult to predict whether an input is bufferable in a particular state. ",Stephen,Completed,Not Proofread
